文件,输入MB,输出MB,状态
units\Sacred_Tree_Squad_Alvina_02.png,1.68,0.14,OK
units\Sacred_Tree_Squad_Alvina_00.png,0.60,0.10,OK
units\SacredChants_Squad_Shalo_01.png,1.51,0.15,OK
units\Sacred_Tree_Squad_Lumi_02.png,5.26,0.27,OK
units\Sacred_Tree_Squad_Lumi_00.png,0.52,0.09,OK
units\Sacred_Tree_Squad_Alvina_01.png,1.71,0.28,OK
units\Sacred_Tree_Squad_Margaret_00.png,0.79,0.15,OK
units\Sacred_Tree_Squad_Margaret_02.png,5.43,0.33,OK
units\Sacred_Tree_Squad_Lumi_01.png,1.61,0.26,OK
units\Spirit_Squad_Bonnie_02.png,6.09,0.33,OK
units\Spirit_Squad_Bonnie_01.png,1.65,0.22,OK
units\Spirit_Squad_Bonnie_00.png,0.66,0.11,OK
units\Sacred_Tree_Squad_Margaret_01.png,2.47,0.37,OK
units\Spirit_Squad_Lusaka_02.png,5.34,0.28,OK
units\Spirit_Squad_Lusaka_00.png,0.75,0.10,OK
units\Spirit_Squad_Snenika_02.png,5.87,0.25,OK
units\Spirit_Squad_Lusaka_01.png,2.24,0.35,OK
units\Spirit_Squad_Snenika_00.png,0.77,0.10,OK
units\Star_Bright_Squad_Alivy_02.png,8.19,0.31,OK
units\Spirit_Squad_Snenika_01.png,1.89,0.23,OK
units\Star_Bright_Squad_Alivy_00.png,2.17,0.21,OK
units\Star_Bright_Squad_Dakors_02.png,6.40,0.34,OK
units\Star_Bright_Squad_Alivy_01.png,1.58,0.38,OK
units\Star_Bright_Squad_Dakors_00.png,0.92,0.17,OK
units\Star_Bright_Squad_Doveil_02.png,5.73,0.23,OK
units\Star_Bright_Squad_Dakors_01.png,1.73,0.28,OK
units\Star_Bright_Squad_Doveil_01.png,1.79,0.26,OK
units\Star_Bright_Squad_Doveil_00.png,3.08,0.31,OK
units\The_Forger_Squad_Leisia_02.png,5.62,0.33,OK
units\The_Forger_Squad_Leisia_00.png,0.79,0.11,OK
units\The_Forger_Squad_Leisia_01.png,1.76,0.20,OK
units\The_Forger_Squad_Tatiana_02.png,5.04,0.29,OK
units\The_Forger_Squad_Tatiana_01.png,1.56,0.21,OK
units\The_Forger_Squad_White_Hunt_02.png,5.55,0.32,OK
units\The_Forger_Squad_Tatiana_00.png,0.58,0.08,OK
units\Typhoon_Squad_613_01.png,5.63,0.18,OK
units\The_Forger_Squad_White_Hunt_00.png,0.67,0.09,OK
